,Macro_Signal,open,high,low,close,close_ret,ln_close,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ADX_14,DMP_14,DMN_14,CCI_20_0.015,BBB_20_2.0,BBP_20_2.0,ATRr_14,dist_ema50,dist_ema200,daily_range,z_score,target_return,signal
2021-03-31,7.448020737541559,1685.59497,1715.27502,1677.92505,1707.00745,0.013097236862910755,7.442497087166873,40.97452890576498,-16.33494209230207,0.3428349709330689,-16.67777706323514,35.646511840255975,9.005569453150466,24.564963746327834,-98.21638354014996,4.181243165814114,0.30592161307863946,26.835011853844353,-0.032888251296218536,-0.051302176826557334,0.022158330242288266,-0.7566568496379051,0.013484802883453995,1
2021-04-01,7.448020737541559,1708.09009,1730.79822,1705.41956,1730.18201,0.013484802883453995,7.455981890050327,48.01381545490058,-14.335839592865796,1.8735499762954788,-16.209389569161274,35.18749612553874,12.542851935028095,22.89909113048818,2.2304138611951543,4.000791121792188,0.6096867773884541,26.73098672142689,-0.01899848700521035,-0.0380547642347926,0.014857916539987569,0.42763778462004143,-0.0007759650416208075,0
2021-04-02,7.448020737541559,1730.47498,1732.54504,1728.67249,1728.83997,-0.0007759650416208075,7.455205925008706,47.65934835754838,-12.713277126437106,2.796889954179335,-15.51016708061644,34.63218735765707,12.901753516806123,22.64671751222569,37.54709956290014,3.8346186511950693,0.5728851588240438,25.098241241324974,-0.018999257741488876,-0.038429668745298164,0.0022378537943380417,0.2841586615386774,-0.00023141314108166,0
2021-04-05,7.448020737541559,1728.745,1733.75,1721.21997,1728.43994,-0.00023141314108166,7.454974511867625,47.54666971701431,-11.329069300871197,3.3448782237961954,-14.673947524667392,34.42956945209427,12.424610838682517,24.008813702314413,17.839532226141365,3.083126612229247,0.5386758401489228,24.200511866944613,-0.018486215493236504,-0.038282287689721715,0.007248049885899828,0.1507861840177024,0.008715473890653413,1
2021-04-06,7.448020737541559,1728.495,1745.67505,1726.82263,1743.56995,0.008715473890653413,7.463689985758278,52.15420442353524,-8.908517422711611,4.6123440815646255,-13.520861504276237,33.35430720488634,15.298339856942482,22.651453010876388,87.60724588344945,3.138431796115581,0.7909714509827636,23.818505305020008,-0.009510143175385169,-0.029575465829921904,0.010906840922305339,1.1344155571758674,-0.0036140177728185563,0
2021-04-07,7.448020737541559,1742.96497,1744.56604,1730.13,1737.28003,-0.0036140177728185563,7.46007596798546,50.18076667743731,-7.412312077455681,4.886839541456446,-12.299151618912127,32.35584940390754,14.61687306792135,21.64244071971723,72.52822121434554,3.1716576728171235,0.662841734930175,23.148329211804278,-0.012576711424771023,-0.032757931658462504,0.008282461350901287,0.6348739604465224,0.010683602891190525,1
2021-04-08,7.448020737541559,1737.84497,1759.125,1732.98999,1755.93994,0.010683602891190525,7.47075957087665,55.55378139415009,-4.667060800375566,6.105672654829249,-10.772733455204815,30.42492119594244,17.90028612540836,19.913034141985463,144.67166447535106,3.4329502929483438,0.9354061530506665,23.361663553818257,-0.001893775362536869,-0.022151258375868524,0.015038746522942126,1.6975256920997095,-0.007339166129641583,0
2021-04-09,7.448020737541559,1756.54004,1757.46997,1731.08997,1743.09998,-0.007339166129641583,7.4634204047470085,51.442459122695205,-3.4873073405506148,5.828340891723361,-9.315648232273976,28.741983338264795,16.469701959227972,18.89721316301713,101.02685591087422,3.4861448671159923,0.7019377788273083,23.577259014259816,-0.008834933016945228,-0.02901848448194777,0.015018160360295634,0.7872984002709196,-0.006091783382188076,0
2021-04-12,7.448020737541559,1743.79504,1745.35999,1727.18005,1732.51367,-0.006091783382188076,7.45732862136482,48.27058408446614,-3.367749645923368,4.758318869080487,-8.126068515003855,27.41085389442413,15.54751943666554,19.043329860003222,33.6932085771118,3.486721777493559,0.5259336606300057,23.19173622752697,-0.014280329876664053,-0.03458010930243418,0.010425502758626947,0.10110802270749386,0.0065104038021148725,1
2021-04-13,7.448020737541559,1732.59497,1749.23499,1723.26501,1743.82983,0.0065104038021148725,7.463839025166935,51.69897142361798,-2.3329865558775964,4.634465567301007,-6.967452123178603,26.407129731117063,14.314496705856287,18.728634651967173,57.27574671106961,3.545240031794148,0.6993325119338708,23.390182211275032,-0.007536751205555396,-0.02800087270650569,0.014989065794182611,0.7771412000214499,-0.0044980907782123936,0
