,Macro_Signal,open,high,low,close,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ADX_14,DMP_14,DMN_14,CCI_20_0.015,BBB_20_2.0,BBP_20_2.0,ATRr_14,dist_ema50,dist_ema200,daily_range,z_score,target_price,signal
2011-03-31,0.013497496058471614,1424.84998,1441.30005,1422.25,1432.0,58.07594527530902,7.918749155072646,-1.2165443422390627,9.135293497311709,17.174877941974593,26.16327620550212,17.675454852612507,68.68056194926162,3.095769678159959,0.7140799655092659,18.175058772724142,0.020595291219742573,0.07696586159403945,0.013369863682069922,0.8346373588650409,7.2642962139420675,0
2011-04-01,0.013497496058471614,1432.58997,1436.55005,1413.05005,1428.38,56.09731503057237,7.684745019442744,-1.1604387822951736,8.845183801737917,16.635576625886774,23.796477312277364,19.61798329755005,24.694660163749504,3.0884696807789043,0.6332441977325584,18.555411717529562,0.017296592862479903,0.07345036343634793,0.016403856296718314,0.5194815171753205,7.270271089798475,1
2011-04-04,0.013497496058471614,1428.73999,1438.93994,1427.79004,1436.93994,59.60219357750188,8.09667722065069,-0.5988052648697817,8.695482485520472,16.278826495121375,23.69210945536392,18.751246628106294,88.75925498190502,3.1474864407574494,0.817675617050983,18.02644659484887,0.02245503572733428,0.07902562208605403,0.007804009181544564,1.238527563102491,7.2800771547144,1
2011-04-05,0.013497496058471614,1437.05005,1457.34998,1430.09998,1451.09998,64.6321983903791,9.456722139310386,0.6089917230319308,8.847730416278456,16.93329595518471,28.261766653444795,16.797945519985415,156.32343231217172,3.580918117429055,1.0349502011013394,18.685271838073948,0.03121508448803147,0.08868741994887533,0.01896245715311029,2.0856198379395803,7.284477918224647,0
2011-04-06,0.013497496058471614,1456.69995,1462.41003,1451.59998,1457.5,66.65319849308864,10.925058390233971,1.6618623791644112,9.26319601106956,17.776341574181206,28.994848410120028,16.050613830785185,197.3221535316319,4.121015579797929,1.049513661575372,18.158470278211528,0.034312616607722425,0.09247277252298954,0.007420917396200945,2.1423986596152385,7.285163789307776,0
2011-04-07,0.013497496058471614,1460.69995,1466.80005,1454.08997,1458.5,66.97078342931478,12.030734274687347,2.2140306108942287,9.816703663793119,18.760990374502494,29.278142626741804,15.230561464894949,183.61307139233776,4.50926282578394,0.9819498674235643,17.769299544053567,0.03360269221698118,0.09220920779408652,0.008701362658361193,1.878986496914175,7.296481049527601,1
2011-04-08,0.013497496058471614,1460.39001,1476.84998,1458.25,1475.09998,71.77603361906303,14.08411709840766,3.413930747691632,10.670186350716028,20.110593422463634,31.12276810898811,14.095596935270311,200.5598605039572,5.298246722232165,1.0903277085311442,17.82863386233545,0.04351019131334563,0.10349128240982831,0.012736310076511657,2.301521108438157,7.2885177881167325,-1
2011-04-11,0.013497496058471614,1473.55005,1476.60999,1459.19995,1463.40002,64.63816949537774,14.599059913591418,3.143098850300312,11.455961063291106,21.36379625271326,28.948261008279445,13.110756013757909,151.7666642931083,5.658084536690181,0.8862795888023961,17.79873430074006,0.03380503326961984,0.09370777787055026,0.01181503132519997,1.50599508466173,7.281798503323018,-1
2011-04-12,0.013497496058471614,1462.15002,1467.5,1443.89001,1453.59998,59.31712299142132,14.054364513366863,2.0787227600606055,11.975641753306258,21.19090742646742,26.267925797095458,17.900874230933624,90.76689126947136,5.28758960489868,0.7453671314577255,18.213823993544334,0.02580049780594406,0.08545049344597583,0.016147447031461194,0.9566171877176605,7.284649430102266,0
2011-04-13,0.013497496058471614,1452.48999,1462.30005,1450.95996,1457.75,60.78916799590587,13.798500886257898,1.4582873063613118,12.340213579896586,21.030367802096283,25.06737412668447,17.082731046512848,87.35965949194302,4.9847751990634395,0.7782840878295998,17.722842994005465,0.027571456261242452,0.08759118399965743,0.007807344682630236,1.0849511094031457,7.296345483425698,1
2011-04-14,0.013497496058471614,1459.15002,1477.30005,1454.80005,1474.90002,66.22756522722068,14.808882820730787,1.9749353926673603,12.833947428063427,21.655931136950027,28.76842330552422,15.562896841369328,121.32486631251572,4.977087218191151,0.9679644507862966,18.064068494433645,0.03804605714954006,0.09928834367295758,0.01541993605290839,1.8244613049981997,7.304179642438152,1
2011-04-15,0.013497496058471614,1476.79004,1489.90002,1473.19995,1486.5,69.32645502564753,16.357084930979,2.818510002332456,13.538574928646543,22.778268009814287,31.867668492647038,14.529626822951926,155.09378826498946,5.458950880774707,1.030310068733271,17.966640030545534,0.04431773664217871,0.10674555200198373,0.011308357686377743,2.0675292715698737,7.310222571461176,1
2011-04-18,0.013497496058471614,1486.43005,1497.64001,1477.58997,1495.51001,71.51292882394368,18.102405502472948,3.6510644590611214,14.451341043411826,24.11866042073492,32.400169518228495,13.380964337104658,155.48772326781275,6.118636718782736,1.0350718390625189,18.115454314078004,0.04856494240276953,0.11219823186813314,0.01348872084495337,2.086094070016433,7.30994835984285,0
2011-04-19,0.013497496058471614,1497.29004,1501.31006,1489.30005,1495.09998,71.26397123451866,19.230817739370423,3.8235813567668764,15.407236382603546,25.500764786353685,32.31079422817784,12.731677760005288,149.6079636007503,6.585009270261266,0.9569314285454245,17.679351148786715,0.046296569460909875,0.11065672841868732,0.008021164690309411,1.7814466654848098,7.31478581450253,0
2011-04-20,0.013497496058471614,1497.30005,1507.69995,1495.16003,1502.34998,73.05045586879326,20.47409436099224,4.053486382710954,16.420607978281286,27.018902386781942,33.26724555003944,12.06997028919603,148.87095916120185,7.178828187132624,0.9569224243331825,17.316538209587662,0.04925649609415256,0.11475534203140769,0.008375021426066163,1.7814115606028247,7.316116176907548,0
2011-04-21,0.013497496058471614,1503.48999,1510.75,1502.34998,1504.34998,73.53916754011075,21.374392633077832,3.963027723837236,17.411364909240596,28.538961774245102,33.376700917806644,11.635788396953059,142.5912628342507,7.581656485953543,0.9165219983944295,16.679644051759976,0.048570431330257416,0.11494979488434345,0.0055870142507566944,1.6239017033757432,7.318625751748852,0
